locus_tag,KG_FM,KG_FG,KG_PC,KG_PG,KG_PW
b0002,,,Metabolism,Amino acid metabolism; Biosynthesis of other secondary metabolites,"Glycine, serine and threonine metabolism; Cysteine and methionine metabolism; Lysine biosynthesis; Monobactam biosynthesis"
b0003,,,Metabolism,Amino acid metabolism,"Glycine, serine and threonine metabolism; Cysteine and methionine metabolism"
b0004,,,Metabolism,Amino acid metabolism; Metabolism of cofactors and vitamins,"Glycine, serine and threonine metabolism; Vitamin B6 metabolism"
b0008,,,Metabolism,Carbohydrate metabolism; Energy metabolism,Pentose phosphate pathway; Carbon fixation by Calvin cycle
b0009,,,Metabolism; Genetic Information Processing,"Metabolism of cofactors and vitamins; Folding, sorting and degradation",Folate biosynthesis; Sulfur relay system
b0010,Transporters,signaling and cellular processes,,,
b0014,Messenger RNA biogenesis; Chaperones and folding catalysts; Mitochondrial biogenesis; Exosome,genetic information processing; signaling and cellular processes,Genetic Information Processing,"Folding, sorting and degradation",RNA degradation
b0015,Chaperones and folding catalysts; Mitochondrial biogenesis,genetic information processing,,,
b0018,Prokaryotic defense system,signaling and cellular processes,,,
b0019,Transporters,signaling and cellular processes,,,
b0020,Transcription factors,genetic information processing,,,
b0023,Ribosome,genetic information processing,Genetic Information Processing,Translation,Ribosome
b0025,,,Metabolism,Metabolism of cofactors and vitamins,Riboflavin metabolism
b0026,Amino acid related enzymes; Transfer RNA biogenesis,metabolism; genetic information processing,Genetic Information Processing,Translation,Aminoacyl-tRNA biosynthesis
b0027,Peptidases and inhibitors,metabolism,Genetic Information Processing,"Folding, sorting and degradation",Protein export
b0028,Chaperones and folding catalysts,genetic information processing,,,
b0029,,,Metabolism,Metabolism of terpenoids and polyketides,Terpenoid backbone biosynthesis
b0030,,,Metabolism,Nucleotide metabolism,Pyrimidine metabolism
b0031,,,Metabolism,Amino acid metabolism; Biosynthesis of other secondary metabolites,Lysine biosynthesis; Monobactam biosynthesis
b0032,,,Metabolism,Nucleotide metabolism; Amino acid metabolism,"Pyrimidine metabolism; Alanine, aspartate and glutamate metabolism; Arginine biosynthesis"
b0033,,,Metabolism,Nucleotide metabolism; Amino acid metabolism,"Pyrimidine metabolism; Alanine, aspartate and glutamate metabolism; Arginine biosynthesis"
b0034,Transcription factors,genetic information processing,,,
b0040,Transporters,signaling and cellular processes,,,
b0042,Exosome,signaling and cellular processes,,,
b0045,Transporters,signaling and cellular processes,,,
b0046,Transporters,signaling and cellular processes,,,
b0047,Transporters,signaling and cellular processes,,,
b0048,,,Metabolism; Organismal Systems,Metabolism of cofactors and vitamins; Digestive system,Folate biosynthesis; One carbon pool by folate; Folate transport and metabolism
b0049,,,Metabolism,Nucleotide metabolism,Purine metabolism
b0051,Ribosome biogenesis,genetic information processing,,,
b0052,,,Metabolism,Metabolism of cofactors and vitamins,Vitamin B6 metabolism
b0053,Chaperones and folding catalysts,genetic information processing,,,
b0054,Transporters,signaling and cellular processes,,,
b0055,Chaperones and folding catalysts,genetic information processing,,,
b0058,Ribosome biogenesis; Transfer RNA biogenesis,genetic information processing,,,
b0059,Transcription machinery,genetic information processing,,,
b0060,DNA repair and recombination proteins,genetic information processing,,,
b0061,,,Metabolism,Carbohydrate metabolism,Pentose and glucuronate interconversions; Ascorbate and aldarate metabolism
b0062,,,Metabolism,Carbohydrate metabolism,Pentose and glucuronate interconversions; Galactose metabolism
b0063,,,Metabolism,Carbohydrate metabolism,Pentose and glucuronate interconversions
b0064,Transcription factors,genetic information processing,,,
b0066,Transporters,signaling and cellular processes,Environmental Information Processing,Membrane transport,ABC transporters
b0067,Transporters,signaling and cellular processes,Environmental Information Processing,Membrane transport,ABC transporters
b0068,Transporters,signaling and cellular processes,Environmental Information Processing,Membrane transport,ABC transporters
b0069,Transcription factors,genetic information processing,,,
b0070,Transporters,signaling and cellular processes,,,
b0071,,,Metabolism,Carbohydrate metabolism; Amino acid metabolism,"C5-Branched dibasic acid metabolism; Valine, leucine and isoleucine biosynthesis"
b0072,,,Metabolism,Carbohydrate metabolism; Amino acid metabolism,"C5-Branched dibasic acid metabolism; Valine, leucine and isoleucine biosynthesis"
b0073,,,Metabolism,Carbohydrate metabolism; Amino acid metabolism,"C5-Branched dibasic acid metabolism; Valine, leucine and isoleucine biosynthesis"
b0074,,,Metabolism,Carbohydrate metabolism; Amino acid metabolism,"Pyruvate metabolism; Valine, leucine and isoleucine biosynthesis"
b0076,Transcription factors,genetic information processing,,,
b0077,,,Metabolism,Carbohydrate metabolism; Amino acid metabolism; Metabolism of cofactors and vitamins,"Butanoate metabolism; C5-Branched dibasic acid metabolism; Valine, leucine and isoleucine biosynthesis; Pantothenate and CoA biosynthesis"
b0078,,,Metabolism,Carbohydrate metabolism; Amino acid metabolism; Metabolism of cofactors and vitamins,"Butanoate metabolism; C5-Branched dibasic acid metabolism; Valine, leucine and isoleucine biosynthesis; Pantothenate and CoA biosynthesis"
b0080,Transcription factors,genetic information processing,,,
b0081,Transcription factors,genetic information processing,,,
b0082,Ribosome biogenesis,genetic information processing,,,
b0083,Chromosome and associated proteins,genetic information processing,,,
b0084,Peptidoglycan biosynthesis and degradation proteins; Chromosome and associated proteins,metabolism; genetic information processing,Metabolism; Human Diseases,Glycan biosynthesis and metabolism; Drug resistance: antimicrobial,Peptidoglycan biosynthesis; beta-Lactam resistance
b0085,Peptidoglycan biosynthesis and degradation proteins,metabolism,Metabolism,Amino acid metabolism; Glycan biosynthesis and metabolism,Lysine biosynthesis; Peptidoglycan biosynthesis
b0086,,,Metabolism; Human Diseases,Amino acid metabolism; Glycan biosynthesis and metabolism; Drug resistance: antimicrobial,Lysine biosynthesis; Peptidoglycan biosynthesis; Vancomycin resistance
b0087,Peptidoglycan biosynthesis and degradation proteins,metabolism,Metabolism; Human Diseases,Glycan biosynthesis and metabolism; Drug resistance: antimicrobial,Peptidoglycan biosynthesis; Vancomycin resistance
b0088,Peptidoglycan biosynthesis and degradation proteins,metabolism,Metabolism,Metabolism of other amino acids; Glycan biosynthesis and metabolism,D-Amino acid metabolism; Peptidoglycan biosynthesis
b0089,Glycosyltransferases; Peptidoglycan biosynthesis and degradation proteins; Chromosome and associated proteins; Transporters,metabolism; genetic information processing; signaling and cellular processes,Metabolism,Glycan biosynthesis and metabolism,Peptidoglycan biosynthesis
b0090,Peptidoglycan biosynthesis and degradation proteins,metabolism,Metabolism; Human Diseases,Glycan biosynthesis and metabolism; Drug resistance: antimicrobial,Peptidoglycan biosynthesis; Vancomycin resistance
b0091,Peptidoglycan biosynthesis and degradation proteins,metabolism,Metabolism,Glycan biosynthesis and metabolism,Peptidoglycan biosynthesis
b0092,Peptidoglycan biosynthesis and degradation proteins,metabolism,Metabolism; Human Diseases,Metabolism of other amino acids; Glycan biosynthesis and metabolism; Drug resistance: antimicrobial,D-Amino acid metabolism; Peptidoglycan biosynthesis; Vancomycin resistance
b0093,Chromosome and associated proteins,genetic information processing,,,
b0094,Chromosome and associated proteins; Cytoskeleton proteins,genetic information processing; signaling and cellular processes,,,
b0095,Chromosome and associated proteins; Cytoskeleton proteins; Prokaryotic defense system,genetic information processing; signaling and cellular processes,,,
b0096,Lipopolysaccharide biosynthesis proteins,metabolism,Metabolism,Glycan biosynthesis and metabolism,Lipopolysaccharide biosynthesis
b0097,Secretion system,signaling and cellular processes,Genetic Information Processing; Environmental Information Processing,"Folding, sorting and degradation; Membrane transport",Protein export; Bacterial secretion system
b0098,Secretion system,signaling and cellular processes,Genetic Information Processing; Environmental Information Processing; Cellular Processes,"Folding, sorting and degradation; Membrane transport; Cellular community - prokaryotes",Protein export; Bacterial secretion system; Quorum sensing
b0099,DNA repair and recombination proteins,genetic information processing,,,
b0102,Chromosome and associated proteins,genetic information processing,,,
b0103,,,Metabolism,Metabolism of cofactors and vitamins,Pantothenate and CoA biosynthesis
b0104,,,Metabolism,Nucleotide metabolism,Purine metabolism
b0106,Secretion system,signaling and cellular processes,,,
b0107,Secretion system,signaling and cellular processes,,,
b0108,Secretion system,signaling and cellular processes,,,
b0109,,,Metabolism,Metabolism of cofactors and vitamins,Nicotinate and nicotinamide metabolism
b0110,Peptidoglycan biosynthesis and degradation proteins,metabolism,,,
b0112,Transporters,signaling and cellular processes,,,
b0113,Transcription factors,genetic information processing,,,
b0114,,,Metabolism,Carbohydrate metabolism; Metabolism of cofactors and vitamins,Glycolysis / Gluconeogenesis; Citrate cycle (TCA cycle); Pyruvate metabolism; Lipoic acid metabolism
b0115,,,Metabolism,Carbohydrate metabolism; Metabolism of cofactors and vitamins,Glycolysis / Gluconeogenesis; Citrate cycle (TCA cycle); Pyruvate metabolism; Lipoic acid metabolism
b0116,Exosome,signaling and cellular processes,Metabolism,Carbohydrate metabolism; Amino acid metabolism; Metabolism of cofactors and vitamins,"Glycolysis / Gluconeogenesis; Citrate cycle (TCA cycle); Pyruvate metabolism; Glyoxylate and dicarboxylate metabolism; Propanoate metabolism; Glycine, serine and threonine metabolism; Valine, leucine and isoleucine degradation; Lysine degradation; Tryptophan metabolism; Lipoic acid metabolism; One carbon pool by folate"
b0118,,,Metabolism,Carbohydrate metabolism; Energy metabolism,Citrate cycle (TCA cycle); Glyoxylate and dicarboxylate metabolism; Propanoate metabolism; Other carbon fixation pathways
b0120,,,Metabolism,Amino acid metabolism,Cysteine and methionine metabolism; Arginine and proline metabolism
b0121,,,Metabolism,Amino acid metabolism; Metabolism of other amino acids,Cysteine and methionine metabolism; Arginine and proline metabolism; Glutathione metabolism
b0124,,,Metabolism,Carbohydrate metabolism,Pentose phosphate pathway
b0125,,,Metabolism,Nucleotide metabolism,Purine metabolism
b0126,,,Metabolism,Energy metabolism,Nitrogen metabolism
b0127,Transporters,signaling and cellular processes,,,
b0128,Transporters,signaling and cellular processes,,,
b0131,,,Metabolism,Metabolism of other amino acids; Metabolism of cofactors and vitamins,beta-Alanine metabolism; Pantothenate and CoA biosynthesis
b0132,DNA repair and recombination proteins,genetic information processing,,,
b0133,,,Metabolism,Metabolism of other amino acids; Metabolism of cofactors and vitamins,beta-Alanine metabolism; Pantothenate and CoA biosynthesis
b0134,,,Metabolism,Metabolism of cofactors and vitamins,Pantothenate and CoA biosynthesis
b0139,Transporters; Secretion system; Bacterial motility proteins,signaling and cellular processes,Environmental Information Processing,Signal transduction,Two-component system
b0141,Secretion system; Bacterial motility proteins,signaling and cellular processes,,,
b0142,,,Metabolism,Metabolism of cofactors and vitamins,Folate biosynthesis
b0143,Messenger RNA biogenesis,genetic information processing,Genetic Information Processing,"Folding, sorting and degradation",RNA degradation
b0144,Amino acid related enzymes; Transfer RNA biogenesis,metabolism; genetic information processing,,,
b0145,Transcription factors; Transcription machinery; Ribosome biogenesis,genetic information processing,Cellular Processes,Cellular community - prokaryotes,Biofilm formation - Escherichia coli
b0147,Transfer RNA biogenesis,genetic information processing,,,
b0148,Messenger RNA biogenesis,genetic information processing,,,
b0149,Glycosyltransferases; Peptidoglycan biosynthesis and degradation proteins,metabolism,Metabolism,Glycan biosynthesis and metabolism,Peptidoglycan biosynthesis
b0150,Transporters,signaling and cellular processes,,,
b0151,Transporters,signaling and cellular processes,Environmental Information Processing,Membrane transport,ABC transporters
b0152,Transporters,signaling and cellular processes,Environmental Information Processing,Membrane transport,ABC transporters
b0153,Transporters,signaling and cellular processes,Environmental Information Processing,Membrane transport,ABC transporters
b0154,Amino acid related enzymes,metabolism,Metabolism,Metabolism of cofactors and vitamins,Porphyrin metabolism
b0155,Transporters,signaling and cellular processes,,,
b0158,Transporters,signaling and cellular processes,Environmental Information Processing,Membrane transport,ABC transporters
b0159,,,Metabolism,Amino acid metabolism,Cysteine and methionine metabolism
b0160,,,Metabolism,Nucleotide metabolism,Purine metabolism
b0161,Peptidases and inhibitors; Chaperones and folding catalysts,metabolism; genetic information processing,Environmental Information Processing; Human Diseases,Signal transduction; Drug resistance: antimicrobial,Two-component system; Cationic antimicrobial peptide (CAMP) resistance
b0162,Transcription factors,genetic information processing,,,
b0166,,,Metabolism,Amino acid metabolism,Lysine biosynthesis
b0167,,,Environmental Information Processing,Signal transduction,Two-component system
b0168,Peptidases and inhibitors,metabolism,,,
b0169,Ribosome,genetic information processing,Genetic Information Processing,Translation,Ribosome
b0170,Translation factors; Mitochondrial biogenesis,genetic information processing,,,
b0171,,,Metabolism,Nucleotide metabolism,Pyrimidine metabolism
b0172,Translation factors,genetic information processing,,,
b0173,,,Metabolism,Metabolism of terpenoids and polyketides,Terpenoid backbone biosynthesis
b0174,Prenyltransferases,metabolism,Metabolism,Glycan biosynthesis and metabolism; Metabolism of terpenoids and polyketides,Peptidoglycan biosynthesis; Terpenoid backbone biosynthesis
b0175,,,Metabolism,Lipid metabolism,Glycerophospholipid metabolism
b0176,Peptidases and inhibitors,metabolism,,,
b0177,Mitochondrial biogenesis; Transporters,genetic information processing; signaling and cellular processes,,,
b0179,Lipopolysaccharide biosynthesis proteins,metabolism,Metabolism,Glycan biosynthesis and metabolism,Lipopolysaccharide biosynthesis
b0180,Lipid biosynthesis proteins,metabolism,Metabolism,Lipid metabolism; Metabolism of cofactors and vitamins,Fatty acid biosynthesis; Biotin metabolism
b0181,Lipopolysaccharide biosynthesis proteins,metabolism,Metabolism; Human Diseases,Glycan biosynthesis and metabolism; Drug resistance: antimicrobial,Lipopolysaccharide biosynthesis; Cationic antimicrobial peptide (CAMP) resistance
b0182,Lipopolysaccharide biosynthesis proteins,metabolism,Metabolism,Glycan biosynthesis and metabolism,Lipopolysaccharide biosynthesis
b0183,DNA replication proteins,genetic information processing,Genetic Information Processing,Replication and repair,DNA replication
b0184,DNA replication proteins; DNA repair and recombination proteins,genetic information processing,Genetic Information Processing,Replication and repair,DNA replication; Mismatch repair; Homologous recombination
b0185,,,Metabolism,Carbohydrate metabolism; Energy metabolism; Lipid metabolism,Pyruvate metabolism; Propanoate metabolism; Other carbon fixation pathways; Fatty acid biosynthesis
b0186,,,Metabolism,Amino acid metabolism,Lysine degradation
b0188,Transfer RNA biogenesis,genetic information processing,,,
b0189,Transcription machinery,genetic information processing,,,
b0191,Translation factors,genetic information processing,,,
b0192,,,Human Diseases,Drug resistance: antimicrobial,Cationic antimicrobial peptide (CAMP) resistance
b0194,Amino acid related enzymes; Transfer RNA biogenesis,metabolism; genetic information processing,Genetic Information Processing,Translation,Aminoacyl-tRNA biosynthesis
b0195,Transfer RNA biogenesis,genetic information processing,,,
b0196,,,Environmental Information Processing,Signal transduction,Two-component system
b0197,Transporters,signaling and cellular processes,Environmental Information Processing,Membrane transport,ABC transporters
b0198,Transporters,signaling and cellular processes,Environmental Information Processing,Membrane transport,ABC transporters
b0199,Transporters,signaling and cellular processes,Environmental Information Processing,Membrane transport,ABC transporters
b0200,Lipopolysaccharide biosynthesis proteins,metabolism,Metabolism,Glycan biosynthesis and metabolism,Biosynthesis of various nucleotide sugars
b0201,Ribosome; Non-coding RNAs,genetic information processing; RNA family,Genetic Information Processing,Translation,Ribosome
b0202,Non-coding RNAs,RNA family,Genetic Information Processing,Translation,Aminoacyl-tRNA biosynthesis
b0203,Non-coding RNAs,RNA family,Genetic Information Processing,Translation,Aminoacyl-tRNA biosynthesis
b0204,Ribosome; Non-coding RNAs,genetic information processing; RNA family,Genetic Information Processing,Translation,Ribosome
b0205,Ribosome; Non-coding RNAs,genetic information processing; RNA family,Genetic Information Processing,Translation,Ribosome
b0206,Non-coding RNAs,RNA family,Genetic Information Processing,Translation,Aminoacyl-tRNA biosynthesis
b0211,Peptidoglycan biosynthesis and degradation proteins,metabolism,,,
b0212,,,Metabolism,Carbohydrate metabolism,Pyruvate metabolism
b0214,DNA replication proteins,genetic information processing,Genetic Information Processing,Replication and repair,DNA replication
b0215,DNA replication proteins; DNA repair and recombination proteins,genetic information processing,Genetic Information Processing,Replication and repair,DNA replication; Mismatch repair; Homologous recombination
b0216,Non-coding RNAs,RNA family,Genetic Information Processing,Translation,Aminoacyl-tRNA biosynthesis
b0219,,,Metabolism,Amino acid metabolism,"Alanine, aspartate and glutamate metabolism"
b0221,,,Metabolism,Lipid metabolism,Fatty acid degradation
b0222,Lipopolysaccharide biosynthesis proteins,metabolism,Metabolism,Glycan biosynthesis and metabolism,Biosynthesis of various nucleotide sugars
b0224,Peptidases and inhibitors; Peptidoglycan biosynthesis and degradation proteins,metabolism,,,
b0225,Prokaryotic defense system,signaling and cellular processes,,,
b0226,Prokaryotic defense system,signaling and cellular processes,,,
b0231,DNA repair and recombination proteins,genetic information processing,,,
b0232,Prokaryotic defense system,signaling and cellular processes,,,
b0233,Prokaryotic defense system,signaling and cellular processes,,,
b0237,Peptidases and inhibitors,metabolism,Metabolism,Metabolism of other amino acids,Glutathione metabolism
b0238,,,Metabolism,Nucleotide metabolism,Purine metabolism
b0241,Transporters,signaling and cellular processes,,,
b0242,,,Metabolism,Amino acid metabolism; Biosynthesis of other secondary metabolites,Arginine and proline metabolism; Carbapenem biosynthesis
b0243,,,Metabolism,Amino acid metabolism; Biosynthesis of other secondary metabolites,Arginine and proline metabolism; Carbapenem biosynthesis
b0244,Non-coding RNAs,RNA family,Genetic Information Processing,Translation,Aminoacyl-tRNA biosynthesis
b0245,Prokaryotic defense system,signaling and cellular processes,,,
b0246,Prokaryotic defense system,signaling and cellular processes,,,
b0260,Transporters,signaling and cellular processes,,,
